problem,reference_label,base_model_predicted,base_model_correct,quantized_model_predicted,quantized_model_correct,base_model_time,quantized_model_time
"Sentence1: The dollar was last at $ 1.1149 to the euro , close to its strongest level since April 30 . Sentence2: The dollar pushed as high as $ 1.1115 to the euro in early trade , extending Tuesday 's one percent rally to hit its strongest level since April 30 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5119717121124268,0.4735403060913086
"Sentence1: After their arrests , the men told investigators they paid to be smuggled into the United States from Canada last month . Sentence2: After their arrests , sources said the men admitted they were smuggled into Washington state from Canada in July .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5125575065612793,4.806070566177368
Sentence1: The Production Index rose by 1.4 percentage points from 51.5 percent in May to 52.9 percent in June . Sentence2: The production index rose to 52.9 percent from 51.5 percent in May .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,1.2694461345672607,0.47286105155944824
"Sentence1: Germany , another opponent of the war currently on the U.N. Security Council , has moved closer to the United States , and did not insist on a timetable Monday . Sentence2: Germany , another opponent of the war currently on the U.N. Security Council , in recent weeks has moved closer to Washington and did not insist on a timetable .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.2693254947662354,0.4741973876953125
"Sentence1: Power5 , like Power4 , includes two processor cores in a single slice of silicon . Sentence2: Like the Power4 , the Power5 contains two processor cores on one chip .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5109660625457764,0.4754343032836914
"Sentence1: She said in 2003 , not one U.S. state had an obesity rate below 15 percent . Sentence2: She said in 2003 , not one American state had an obesity level less than 15 percent of the population .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5123953819274902,4.7992260456085205
"Sentence1: Special , sensitive light sensors pick up the telltale glow , he said . Sentence2: A sensitive light detector then looks for the telltale blue glow .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.38657283782958984,0.470975399017334
"Sentence1: The federal government is approving new pesticides without basic information such as whether they harm children , says Canada 's environment commissioner . Sentence2: The federal government is approving new pesticides without even knowing whether they pose a threat to children , Canada 's environment watchdog warned yesterday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.2729718685150146,5.463043928146362
"Sentence1: In September 2002 , the nearby Gard region was hit by similar floods . Sentence2: In September 2002 , floods in the Gard region killed 23 people .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.1471874713897705,0.4692840576171875
"Sentence1: Overall , 83 percent of women washed up , compared with 74 percent of men . Sentence2: But in San Francisco , 80 percent of men and only 59 percent of women washed their hands .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.69144868850708,0.4736955165863037
"Sentence1: Analysts had expected 53 cents a share , according to research firm Thomson First Call . Sentence2: Home Depot is expected to report earnings per share of 46 cents for the third quarter , according to Thomson First Call .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2652497291564941,0.47262120246887207
"Sentence1: The number of people in the UK infected by HIV , the virus that causes Aids , increased by almost 20 per cent last year to nearly 50,000 . Sentence2: The global epidemic of HIV , the virus that causes Aids , is tightening its grip on Britain with a record number of new cases diagnosed last year .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2663922309875488,0.4742090702056885
Sentence1: But stocks have rallied sharply over the past 3-1 / 2 months amid hopes for an economic rebound later this year . Sentence2: But stocks have roared higher in the past 3-1 / 2 months amid hopes for an economic rebound .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,1.268662929534912,4.845693826675415
"Sentence1: "" Spring has arrived in Estonia -- we 're back in Europe , "" Prime Minister Juhan Parts told a news conference on Sunday . Sentence2: "" Spring has arrived in Estonia - we 're back in Europe , "" Juhan Parts , prime minister , told a news conference last night .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,4.206387519836426,0.4741089344024658
"Sentence1: AMD will own a 60 percent interest in the new company and Fujitsu owns 40 percent . Sentence2: Fujitsu will own 40 percent of the company , which will be headquartered in Sunnyvale , Calif .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5112442970275879,3.3672032356262207
Sentence1: He was then given leave to appeal against the sentence to the Supreme Court of Appeal . Sentence2: He was given leave to appeal against part of his conviction and sentence .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,1.1420741081237793,0.4722881317138672
"Sentence1: Songs can be burned to CDs , but the same playlist can only be burned up to five times - Apple 's puts the limit at ten burns . Sentence2: Tracks can be burned to CDs , but the same playlist may only be burned up to five times .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,4.623368978500366,7.324434518814087
"Sentence1: SSE shares were little changed , up 0.3 percent at 654 pence by 1018 GMT , but analysts welcomed the move . Sentence2: SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5136349201202393,0.47301173210144043
"Sentence1: Shares of EDS gained $ 1.49 , or 6.6 percent , to $ 23.999 early Wednesday on the New York Stock Exchange . Sentence2: Shares were off 30 cents , or 1.3 percent , at $ 22.58 on Tuesday on the New York Stock Exchange .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5124564170837402,3.92388916015625
Sentence1: The deficit is still expected to top $ 500 billion in 2004 -- even with an improving economy . Sentence2: But Mr. Bolten cautioned that the deficit was still likely to exceed $ 500 billion in the 2004 fiscal year .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,1,0,1,0,0.512728214263916,0.47301793098449707
"Sentence1: "" As a responsible leader we feel it necessary to make these changes because online chat services are increasingly being misused , "" Microsoft told the BBC . Sentence2: "" As a responsible leader we felt it necessary to make these changes because online chat services are increasingly being misused , "" stated Gillian Kent , director at MSN UK .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.718401670455933,5.181102275848389
"Sentence1: We have already found two trailers , both of which we believe were used for the manufacture of biological weapons . Sentence2: We have already found two trailers that we and the Americans believe were used for chemical and biological weapons . "". Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,2.1292030811309814,0.593904972076416
"Sentence1: America Online last quarter lost 846,000 dial-up subscribers . Sentence2: No wonder AOL lost 846,000 subscribers last quarter .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,1,0,1.1404078006744385,2.33712100982666
Sentence1: Governor Gray Davis estimated yesterday that the fires could cost nearly $ 2 billion . Sentence2: State officials estimated the cost at nearly $ 2 billion .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,0.3867759704589844,4.780751705169678
"Sentence1: None of the Prairie Plant Systems marijuana can be distributed until the document is made available , she said . Sentence2: None of Prairie Plant 's marijuana can be distributed until the Health Canada 's user manual is made available , she said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5163841247558594,5.24283504486084
"Sentence1: He left the ship after the collision , went to his home , and attempted suicide . Sentence2: Captain Smith left the ferry terminal after the crash , went to his home and attempted suicide .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5111865997314453,0.4726099967956543
Sentence1: He reportedly claims Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while Harold Keke 's group was armed . Sentence2: He was reported as saying Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while notorious warlord Harold Keke 's group was armed .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,1,1,0.512455940246582,0.47364091873168945
"Sentence1: "" The woman was taken to New Charing Cross Hospital by ambulance and her condition is critical . Sentence2: She was taken to Charing Cross Hospital , where she remained critically ill last night .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5126488208770752,0.4745049476623535
"Sentence1: If sufficient evidence exists at the end of what is expected to be a five-day hearing , Peterson will be held for trial on the charges . Sentence2: If the judge decides that is so at the end of what is expected to be a five-day hearing , Peterson will be held for trial on the charges .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5169622898101807,0.5858442783355713
"Sentence1: They returned in 1999 after rebel raids on a neighboring Russian region and a series of deadly apartment-building bombings that were blamed on the rebels . Sentence2: In 1999 , troops returned after rebel raids on a neighbouring Russian region and a series of deadly apartment-house bombings in Russian cities that were blamed on the rebels .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5142045021057129,0.4746823310852051
"Sentence1: Tropical Storm Claudette continued its slow churn toward the Texas coast early Sunday , with forecasters expecting the plodding storm system to make landfall as a hurricane by early Tuesday . Sentence2: Tropical Storm Claudette headed for the Texas coast Saturday , with forecasters saying the sluggish storm system could reach hurricane strength before landfall early Tuesday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5126738548278809,3.8608436584472656
"Sentence1: "" Everything is going to move everywhere , "" Doug Feith , undersecretary of defence for policy , said in an interview . Sentence2: "" Everything is going to move everywhere , "" Douglas J. Feith , undersecretary of defence force policy , is quoted as saying .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,4.434959888458252,4.861883163452148
"Sentence1: According to Sanmina-SCI , Newisys , based in Austin , Texas , will become a wholly-owned subsidiary . Sentence2: Newisys , an Austin , Texas , startup headed by former IBM and Dell execs , will become a wholly-owned subsidiary .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.266052484512329,4.6954827308654785
Sentence1: Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs . Sentence2: Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,0.5130648612976074,0.47408008575439453
Sentence1: The company 's shares fell 3.6 percent to close at $ 66.89 on the Nasdaq . Sentence2: Shares of Express Scripts ESRX.O fell about 4 percent to $ 66.73 on the Nasdaq in late morning trade .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,1.2664263248443604,0.7403583526611328
"Sentence1: The Emeryville-based toy company filed suit Friday in federal court in Wilmington , Del . , claiming Fisher-Price is violating its 1998 patent on interactive learning books for toddlers and preschoolers . Sentence2: The Emeryville-based toy company filed suit Friday claiming Fisher-Price is violating its 1998 patent on interactive-learning books for toddlers and preschoolers .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.271047592163086,4.414458513259888
Sentence1: They also drafted a non-binding priorities list specifying that a quarter of it may be used to reduce planned 5 percent cuts in fees paid to health-care providers . Sentence2: They also drafted a nonbinding priorities list specifying that one-quarter may be used to reduce planned cuts of 5 percent in fees paid to health care providers .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,0.5122089385986328,0.5967662334442139
Sentence1: The Thomson First Call consensus was for earnings of 19 cents a share . Sentence2: Analysts surveyed by Thomson First Call had expected earnings of 19 cents per share in the third quarter .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,1,0,1.2671377658843994,0.5526068210601807
"Sentence1: Mr Hadley , who has a new partner and child , said : "" I am absolutely delighted . Sentence2: In a statement issued by his solicitors , Mr Hadley said : "" I am absolutely delighted with the outcome of proceedings .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,1,0,1.281984806060791,0.47446703910827637
"Sentence1: "" I love the Catholic Church with all my heart , mind , soul and strength , "" said Troy , who spoke quickly but in a steady voice . Sentence2: "" I love the Catholic Church with all my heart , mind , soul and strength , "" he said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,5.008061170578003,6.6436827182769775
"Sentence1: A divided Supreme Court ruled that Congress can force the nation 's public libraries to equip computers with anti-pornography filters . Sentence2: The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters , rejecting librarians ' complaints that the law amounts to censorship .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,0.5119788646697998,4.490694046020508
"Sentence1: Under NASD regulations , Mr. Young can file a response and request a hearing before an NASD panel . Sentence2: The analyst , already let go by Merrill , can request a hearing before a NASD panel .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,1.696366310119629,4.783297777175903
"Sentence1: "" We make no apologies for finding every legal way possible to protect the American public from further terrorist attacks , "" said Barbara Comstock , Ashcroft 's press secretary . Sentence2: "" We make no apologies for finding every legal way possible to protect the American public from further terrorist attack , "" said Barbara Comstock , Justice Department spokeswoman .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.484105110168457,0.47704195976257324
Sentence1: One man died and 15 others were hospitalized after drinking tainted coffee following the April 27 worship service at Gustaf Adolph Lutheran Church in New Sweden . Sentence2: The victims drank tainted coffee after the April 27 worship service at Gustaf Adolph Lutheran Church in New Sweden .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,1,0,1,0,0.5136728286743164,0.4756021499633789
"Sentence1: The Dow Jones industrial average < .DJI > rose 98.74 points , or 1.12 percent , to 8,949.00 . Sentence2: The city index outperformed the Dow Jones industrial average , which rose 2.9 percent during the four-day trading week .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.701939582824707,0.47593188285827637
"Sentence1: Analysts ' consensus estimate from Thomson First Call was for a loss of $ 2.08 a share , excluding one-time items . Sentence2: The estimate of analysts surveyed by Thomson First Call was for a loss of $ 2.75 a share .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.265866994857788,0.47495150566101074
Sentence1: He blamed guerrillas from the Taliban regime ousted in late 2001 and said it was possible the bomber died in the blast . Sentence2: He blamed the blast on guerillas from the Taliban regime overthrown in late 2001 and said it was possible the bomber was killed in the blast .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,0.5119178295135498,0.4755854606628418
"Sentence1: Responding later , Edward Skyler , a spokesman for the mayor , said , "" The comptroller 's statements , while noteworthy for their sensationalism , bear no relation to the facts . Sentence2: Jordan Barowitz , a spokesman for Republican Mayor Michael Bloomberg said : "" The Comptroller 's statements , while noteworthy for their sensationalism , bear no relation to the facts . "". Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5148236751556396,0.47631120681762695
"Sentence1: Hannum was five and a half months pregnant when her mother died . Sentence2: In her testimony , Kate Hannum said she was 5 1 / 2 months pregnant when her mother was killed .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5115549564361572,0.4745502471923828
Sentence1: Goold said reporters ' calls to Peterson may have been monitored . Sentence2: Prosecutors said interviews Peterson gave reporters may have been monitored in case the fertilizer salesman confessed .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,1.1401231288909912,3.458287477493286
"Sentence1: The state 's population was 6,080,485 in 2000 , according to the U.S. census . Sentence2: Between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5125458240509033,0.47525453567504883
"Sentence1: The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said . Sentence2: The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped unharmed , Aaron said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5123124122619629,0.47586536407470703
"Sentence1: He also accused royal courtiers of poisoning the brothers ’ “ little minds ” . Sentence2: He said the royal family has poisoned the princes ' "" little minds . "". Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.1397745609283447,0.4701650142669678
"Sentence1: The total for the Johnny Depp swashbuckler rose to $ 232.8 million . Sentence2: Its cumulative total is $ 232.8 million , heading for $ 275 million .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5110104084014893,0.47307419776916504
Sentence1: I would like to congratulate Russia on the successful World Climate Change Conference last week . Sentence2: Momentous happenings at the World Climate Conference in Moscow last week .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,1.1394944190979004,4.452072858810425
"Sentence1: At least seven other governments have signed agreements , but have asked not to have them publicized . Sentence2: Egypt , Mongolia , the Seychelles , Tunisia and at least three other governments have signed unpublicized agreements .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,3.7424280643463135,0.47373104095458984
"Sentence1: The G + J executive was testifying in Manhattan 's State Supreme Court where O 'Donnell and G + J are suing each other for breach of contract . Sentence2: He spoke in Manhattan 's State Supreme Court , where O 'Donnell and G + J sued each other for breach of contract .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5117168426513672,0.47569704055786133
"Sentence1: By 10 p.m. , Claudette was centered about 320 miles east of Brownsville , with maximum sustained winds of 65 mph , 9 mph shy of hurricane strength . Sentence2: Early Monday , the center of Claudette was about 300 miles east of Brownsville , with maximum sustained wind blowing at 65 mph , 9 mph shy of hurricane strength .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5140082836151123,0.476060152053833
"Sentence1: Jim Furyk celebrated his first Father 's Day as a father by winning his first major golf championship . Sentence2: His first Father 's Day as a dad , his first major as a champion .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.691309928894043,0.47489237785339355
"Sentence1: "" We must not engage in borough warfare , "" Thompson testified at a budget hearing by the City Council 's Finance Committee . Sentence2: "" We must not engage in borough warfare , "" the Comptroller William Thompson told the Council , according to his written testimony .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,1.6981165409088135,0.47597837448120117
"Sentence1: The Standard & Poor 's 500 Index slipped 3.14 points , or 0.29 percent , to 1,071.99 . Sentence2: The Standard & Poor 's retail index < .RLX > was up more than 1.5 percent .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5128979682922363,4.430084705352783
"Sentence1: He took batting practice on the field for the second time Tuesday since his opening-day injury . Sentence2: Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5126345157623291,0.47470712661743164
"Sentence1: The redesigned Finder also features search , coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac , Windows and UNIX file servers . Sentence2: It also supports coloured labels to better organise documents , and dynamic browsing of the network for Mac , Windows and Unix file servers .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,1.2668123245239258,2.8641796112060547
"Sentence1: But to see those pages , users would be required by Amazon to register , and Amazon plans to limit the amount of any single book a customer can view . Sentence2: But to see those pages Amazon would require users to register , and it plans to limit the amount of any single book a browser can view .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5119671821594238,0.4740869998931885
"Sentence1: Also Thursday , the NYSE 's board elected six new directors - three non-industry representatives and three industry representatives . Sentence2: Also Thursday , the NYSE 's board elected six new directors to the board and re-elected six others .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2654659748077393,1.0510034561157227
"Sentence1: Between 1993 and 2002 , 142 allegations of sexual assault were reported . Sentence2: From 1993 to 2002 , there were 142 reported sexual assaults at the academy .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,1.2638452053070068,0.47338247299194336
"Sentence1: "" Mr Gilbertson would have been entitled to these superannuation payments irrespective of ... ( how ) he left the company , "" Mr Argus said . Sentence2: "" Mr Gilbertson would have been entitled to these ( pension ) payments irrespective of the circumstances in which he left the company , "" Mr Argus said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5119361877441406,4.407010316848755
"Sentence1: Five Big East schools , Connecticut , Pittsburgh , Rutgers , Virginia Tech and West Virginia , filed the lawsuit June 6 . Sentence2: Pittsburgh , West Virginia , Rutgers , Connecticut and Virginia Tech filed the lawsuit this month in Hartford , Conn .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5116336345672607,0.4731423854827881
"Sentence1: Graham said the surgery was not exactly the way to begin a campaign , but he is recovered . Sentence2: Graham acknowledged that surgery was not exactly the way to begin a campaign , but he said he feels strong and has the go-ahead from his doctors .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5124785900115967,0.47347021102905273
"Sentence1: As temperatures soar above 50 degrees ( 120 Fahrenheit ) , fridges and air conditioners have stuttered to a halt in Basra . Sentence2: As temperatures soar above 120 Fahrenheit in Basra , fridges and air conditioners have stuttered to a halt .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5135846138000488,0.474794864654541
"Sentence1: Chief merchandising officers oversee the buying and development of merchandise , deciding the merchandising direction of the company , or basically what it should stand for . Sentence2: He or she decides the merchandising direction of the company , or basically what it should stand for .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5130503177642822,4.565654039382935
"Sentence1: "" September and third-quarter data confirm that demand in the global semiconductor market is rising briskly , "" George Scalise , the SIA 's president , said in the statement . Sentence2: "" September and third quarter data confirm that demand in the global semiconductor market is rising briskly , "" stated SIA President George Scalise , in a statement .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5137233734130859,4.419697999954224
"Sentence1: The ISM noted that "" with the exception of March 2003 , growth in business activity has been reported by ISM members every month beginning with February 2002 . "" Sentence2: "" With the exception of March 2003 , growth in business activity has been reported by ISM members every month beginning with February 2002 , "" the Arizona-based group said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,0.5143215656280518,1.7824947834014893
Sentence1: That investigation closed without any charges being laid . Sentence2: The investigation was closed without charges in 2001 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,0.38663816452026367,0.4689807891845703
Sentence1: Officials at Mortazavi 's office and the judiciary declined to respond to Reuters ' requests for comment on the accusations . Sentence2: Judiciary officials did not immediately respond to Reuters ' requests for comment on the criticism of Mortazavi 's appointment .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,0.5118551254272461,0.4732930660247803
Sentence1: Beagle 2 is attached to Mars Express by what is known as a Spin-Up and Ejection Mechanism ( Suem ) . Sentence2: A command is sent to Mars Express to release Beagle 2 by what is known as a Spin-Up and Eject Mechanism .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,5.726991415023804,6.013155937194824
"Sentence1: Gary Nicklaus , the 34-year-old son of Jack Nicklaus who is playing on a sponsor 's exemption , birdied five of his first nine holes before faltering to a 69 . Sentence2: Gary Nicklaus , the 34-year-old son of the Golden Bear who is playing on a sponsor 's exemption , birdied five of his first nine holes before shooting 69 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.2704839706420898,0.5938670635223389
"Sentence1: The broader Standard & Poor 's 500 Index .SPX was up 3.41 points , or 0.35 percent , at 967.00 , also its highest close so far this year . Sentence2: The broader Standard & Poor 's 500 Index .SPX was down 0.04 points , or 0 percent , at 971.52 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5161240100860596,0.5518438816070557
"Sentence1: "" There is no conscious policy on the part of the United States to move the dollar at all , "" Snow said . Sentence2: "" There is no conscious policy of the United States , I can assure you of this , to move the dollar at all , "" he said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,1.2802081108093262,4.49575138092041
"Sentence1: "" Events on our system , in and of themselves , could not account for the widespread nature of the outage , "" FirstEnergy Chief Executive Peter Burg told the House panel . Sentence2: "" Events on our system , in and of themselves , could not account for the widespread nature of the outage , "" Burg said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,1.866318941116333,6.750489234924316
"Sentence1: Kinsley , for example , wrote in the Post Monday : "" Sinners have long cherished the fantasy that William Bennett , the virtue magnate , might be among our number . Sentence2: "" Sinners have long cherished the fantasy that William Bennett , the virtue magnate , might be among our number , "" Michael Kinsely wrote .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.2702555656433105,4.413351535797119
"Sentence1: He projected Vanderpool will be available within the next five years . Sentence2: Products featuring Vanderpool will be released within five years , he said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.38634443283081055,0.46962714195251465
"Sentence1: The ambassador said it was up to the Americans to press the Iraqis to make the invitation , which he said the United States appears unwilling to do . Sentence2: The ambassador said it was up to the Americans to press the Iraqi council to make the invitation - a move he said the United States appears unwilling to make .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5127463340759277,5.766301155090332
"Sentence1: In afternoon trading in Europe , France 's CAC-40 advanced and Britain 's FTSE 100 each gained 0.7 percent , while Germany 's DAX index rose 0.6 percent . Sentence2: In Europe , France 's CAC-40 rose 1.3 percent , Britain 's FTSE 100 declined 0.2 percent and Germany 's DAX index gained 0.6 percent .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.515371561050415,0.5927314758300781
"Sentence1: The tech-heavy Nasdaq composite index fell 3.99 , or 0.2 percent , to 1,682.72 , following a two-day win of 55.93 . Sentence2: The technology-laced Nasdaq Composite Index .IXIC eased 8.52 points , or 0.51 percent , to 1,670.21 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5155999660491943,6.519635200500488
"Sentence1: He was released on $ 3-million bail and immediately returned to Las Vegas , where he had been filming a video . Sentence2: After posting $ 3 million bail , Jackson flew to Las Vegas , where he had been working on a video .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5120072364807129,0.4739501476287842
"Sentence1: Florida 's primary isn 't until March 9 - following 28 other states . Sentence2: Florida 's primary will be March 9 , after 28 states ' primaries or caucuses .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,5.731359958648682,0.4787461757659912
"Sentence1: "" It still remains to be seen whether the revenue recovery will be short- or long-lived , "" Sprayregen said . Sentence2: "" It remains to be seen whether the revenue recovery will be short- or long-lived , "" said James Sprayregen , UAL bankruptcy attorney , in court .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5121052265167236,1.3818535804748535
"Sentence1: Dividends are currently taxed at ordinary income tax rates of as much as 38.6 per cent . Sentence2: Under current law , dividends are taxed at standard income tax rates up to 38.6 percent .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5119986534118652,0.473158597946167
"Sentence1: Dr. William Winkenwerder , assistant secretary of Defense for health affairs , said the vaccine poses little danger . Sentence2: "" We stand behind this program , "" said Dr. William Winkenwerder , assistant secretary of defense for health affairs .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2675602436065674,3.7023913860321045
